row_id,column,error_type,error_value,right_value,missing_value,constraint,tuple_pairs
3,NumReviews,outliers,304,7,0
9,Bedrooms,missing_value,,2,1
10,Bedrooms,missing_value,,1,1
13,Bedrooms,missing_value,,1,1
15,land_area (sq.mi.),outliers,20.4,4.4,0
18,NumReviews,outliers,310,11,0
23,Bathrooms,outliers,3,2,0
34,Bedrooms,missing_value,,1,1
36,Bedrooms,missing_value,,1,1
40,Bedrooms,missing_value,,1,1
45,Bathrooms,outliers,3,2,0
52,Bathrooms,outliers,4,2,0
52,Price,outliers,700,207,0
54,land_area (sq.mi.),outliers,12.5,4.7,0
55,Bathrooms,outliers,3,1,0
59,Bathrooms,outliers,3,1,0
64,Bedrooms,missing_value,,1,1
66,unemployment (%),outliers,15.1,3.1,0
68,Bathrooms,outliers,4,2,0
68,Bedrooms,outliers,5,3,0
68,Beds,outliers,8,5,0
68,NumGuests,outliers,16,9,0
71,Bedrooms,missing_value,,1,1
72,Bedrooms,missing_value,,1,1
73,Bathrooms,outliers,3,2,0
73,Bedrooms,outliers,4,3,0
75,unemployment (%),outliers,15.1,3.1,0
76,Bathrooms,outliers,3,2,0
76,Bedrooms,outliers,5,3,0
76,Beds,outliers,7,3,0
76,NumGuests,outliers,12,9,0
76,land_area (sq.mi.),outliers,12.5,4.7,0
77,Bathrooms,outliers,5,2,0
77,Bedrooms,outliers,7,3,0
77,Beds,outliers,10,5,0
77,NumGuests,outliers,16,8,0
77,Price,outliers,949,185,0
79,unemployment (%),outliers,14,8.2,0
82,Bathrooms,missing_value,,1,1
83,Price,missing_value,,147,1
86,land_area (sq.mi.),outliers,12.5,4.7,0
90,NumReviews,outliers,304,6,0
94,unemployment (%),outliers,15.1,3.1,0
95,land_area (sq.mi.),outliers,20.4,4.4,0
97,Bedrooms,missing_value,,1,1
108,Bedrooms,outliers,5,3,0
108,Price,outliers,500,50,0
111,land_area (sq.mi.),outliers,12.5,4.7,0
114,Bedrooms,missing_value,,1,1
119,unemployment (%),outliers,14,8.2,0
122,Bedrooms,missing_value,,1,1
125,unemployment (%),outliers,15.1,3.1,0
127,unemployment (%),outliers,15.1,3.1,0
129,Bathrooms,outliers,3,2,0
129,Bedrooms,outliers,4,2,0
129,Price,outliers,749,82,0
138,unemployment (%),outliers,15.1,3.1,0
139,land_area (sq.mi.),outliers,12.5,4.7,0
140,unemployment (%),outliers,15.1,3.1,0
141,NumReviews,outliers,243,5,0
141,unemployment (%),outliers,15.1,3.1,0
143,land_area (sq.mi.),outliers,12.5,4.7,0
144,unemployment (%),outliers,15.1,3.1,0
145,unemployment (%),outliers,15.1,3.1,0
151,Bathrooms,outliers,3,2,0
151,Price,outliers,450,75,0
157,Bedrooms,missing_value,,1,1
162,land_area (sq.mi.),outliers,12.5,4.7,0
164,unemployment (%),outliers,15.1,3.1,0
